year,result,verified_flight_status
2022,Positive review!,Not Verified
2022,Negative review!,Verified
2022,Positive review!,Not Verified
2022,Positive review!,Not Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Not Verified
2022,Positive review!,Not Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Not Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Not Verified
2022,Negative review!,Not Verified
2022,Negative review!,Verified
2022,Negative review!,Not Verified
2022,Negative review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Not Verified
2022,Negative review!,Not Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Not Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Not Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Negative review!,Not Verified
2022,Positive review!,Verified
2022,Negative review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Not Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Not Verified
2022,Negative review!,Not Verified
2022,Negative review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2022,Negative review!,Not Verified
2022,Positive review!,Verified
2022,Positive review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Not Verified
2021,Negative review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Not Verified
2021,Positive review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Not Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Not Verified
2021,Positive review!,Not Verified
2021,Negative review!,Verified
2021,Positive review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Positive review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Verified
2021,Negative review!,Not Verified
2021,Positive review!,Verified
2021,Positive review!,Not Verified
